timestamp,src_ip,dst_ip,src_port,dst_port
1735700400,45.33.1.10,192.168.1.5,8333,52341
1735700401,45.33.1.10,192.168.1.6,8333,52342
1735700445,45.33.1.10,192.168.1.7,8333,52343
1735700462,192.168.77.4,192.168.1.8,8333,52344
1735700470,192.168.77.4,192.168.1.9,8333,52345
1735701200,203.0.113.5,192.168.1.5,8333,52400
1735702000,198.51.100.9,192.168.1.5,8333,52401
1735702600,45.33.1.10,192.168.1.10,8333,52402
1735702610,45.33.1.10,192.168.1.11,8333,52403
1735702615,45.33.1.10,192.168.1.12,8333,52404
1735702620,45.33.1.10,192.168.1.13,8333,52405
1735703000,203.0.113.9,192.168.1.14,8333,52406
1735703500,198.51.100.20,192.168.1.15,8333,52407
1735704000,203.0.113.14,192.168.1.16,8333,52408
1735704500,,192.168.1.17,8333,52409
1735705000,198.51.100.30,192.168.1.18,8333,52410
1735705500,203.0.113.21,192.168.1.19,8333,52411
1735706000,198.51.100.40,192.168.1.20,8333,52412
1735706500,203.0.113.28,192.168.1.21,not_a_port,52413
1735707000,198.51.100.50,192.168.1.22,8333,52414
